source_file,record_id_1,record_id_2,label,tc_exact_match,tc_conflict,tc_present_both,phone_exact_match,phone_match,phone_last7_match,phone_similarity,phone_present_both,email_exact_match,email_domain_match,email_username_similarity,city_exact_match,city_match,address_similarity,muhatap_no_exact_match,muhatap_no_conflict,muhatap_present_both,phonetic_exact_match,metaphone_exact_match,phonetic_close_match,name_similarity,name_jaro_winkler,name_token_similarity,name_levenshtein_similarity,name_present_both,email_similarity,email_present_both,first_name_similarity,surname_similarity,first_name_jaro_winkler,surname_jaro_winkler,first_name_exact_match,surname_exact_match,shared_contact_flag,shared_contact_name_conflict,household_risk_flag,same_surname_name_conflict,common_non_empty_fields
mukerrer_veri_seti.csv,REC001199,REC000628,0,0,1,1,0,0,0,0.28,1,0,0,0.25,0,0,0.6464,0,1,1,0,0,0,0.5237,0.5237,0.0,0.1667,1,0.2833,1,0.6,0.1818,0.6,0.0,0,0,0,0,0,0,7
mukerrer_veri_seti.csv,REC001972,REC000990,1,1,0,1,1,1,1,1.0,1,1,1,1.0,1,1,0.9474,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,7
mukerrer_veri_seti.csv,REC000900,REC000402,1,1,0,1,1,1,1,1.0,1,1,1,1.0,1,1,1.0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,7
mukerrer_veri_seti.csv,REC000078,REC001097,1,1,0,1,1,1,1,1.0,1,1,1,1.0,1,1,0.9283,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,7
mukerrer_veri_seti.csv,REC000197,REC000910,1,0,0,0,1,1,1,1.0,1,1,1,1.0,1,1,1.0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,6
mukerrer_veri_seti.csv,REC000821,REC000134,0,0,1,1,0,0,0,0.28,1,0,0,0.25,0,0,0.7446,0,1,1,0,0,0,0.4797,0.4797,0.0,0.3846,1,0.2176,1,0.4921,0.5619,0.4921,0.5619,0,0,0,0,0,0,7
mukerrer_veri_seti.csv,REC001947,REC001547,0,0,1,1,0,0,0,0.28,1,0,0,0.381,0,0,0.6923,0,1,1,0,0,0,0.6736,0.6736,0.5,0.6667,1,0.4459,1,0.4667,1.0,0.4667,1.0,0,1,0,0,0,1,7
mukerrer_veri_seti.csv,REC001625,REC000173,1,1,0,1,1,1,1,1.0,1,1,1,1.0,1,1,1.0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,7
mukerrer_veri_seti.csv,REC000706,REC000480,1,1,0,1,1,1,1,1.0,1,1,1,1.0,1,1,1.0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,7
mukerrer_veri_seti.csv,REC001256,REC001552,1,0,0,0,1,1,1,1.0,1,1,1,1.0,1,1,1.0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,0,6
